T000001	chr10:100027943..100027958,-	LOXL4
T002223	chr10:127503671..127503675,-	UROS
T002229	chr10:127511777..127511788,-	UROS
T002230	chr10:127511790..127511837,-	UROS
T002231	chr10:127511845..127511859,-	UROS
T002232	chr10:127512106..127512130,+	BCCIP
T002236	chr10:127584981..127584988,-	DHX32
T002237	chr10:127585004..127585080,-	DHX32
T002238	chr10:127585093..127585114,+	FANK1
T002239	chr10:127585118..127585175,+	FANK1
T002304	chr10:128076844..128076856,-	ADAM12
T002305	chr10:128076861..128076899,-	ADAM12
T002308	chr10:128076983..128076990,-	ADAM12
T002309	chr10:128077034..128077055,-	ADAM12
T002326	chr10:1282524..1282537,-	ADARB2
T002327	chr10:1282545..1282619,-	ADARB2
T002345	chr10:128359255..128359269,-	C10orf90
T002351	chr10:128593990..128594029,+	DOCK1
T002362	chr10:128994647..128994668,-	FAM196A
T002363	chr10:128994816..128994856,-	FAM196A
T002378	chr10:12939454..12939477,-	CCDC3
T002379	chr10:12939703..12939707,-	CCDC3
T002403	chr10:129705299..129705386,+	PTPRE
T002416	chr10:129785536..129785551,+	PTPRE
T002419	chr10:129796408..129796412,+	PTPRE
T002425	chr10:129845867..129845888,+	PTPRE
T002452	chr10:129900980..129901015,-	MKI67
T002469	chr10:129923884..129923887,-	MKI67
T002470	chr10:129924582..129924595,-	MKI67
T002471	chr10:129924611..129924662,-	MKI67
T002473	chr10:129924734..129924741,-	MKI67
T002474	chr10:129924751..129924762,-	MKI67
T002483	chr10:13043705..13043720,-	CCDC3
T002492	chr10:131265443..131265495,+	MGMT
T002493	chr10:131265496..131265522,+	MGMT
T002495	chr10:13141441..13141457,+	OPTN
T002497	chr10:13141794..13141821,+	OPTN
T002498	chr10:13141901..13141926,+	OPTN
T002499	chr10:13141961..13141973,-	CCDC3
T002500	chr10:13141974..13141997,-	CCDC3
T002501	chr10:13142075..13142193,+	OPTN
T002503	chr10:13142235..13142246,+	OPTN
T002505	chr10:13151176..13151210,+	OPTN
T002509	chr10:131635619..131635623,-	EBF3
T002518	chr10:131762504..131762555,-	EBF3
T002519	chr10:131762558..131762569,-	EBF3
T002520	chr10:131762589..131762601,-	EBF3
T002523	chr10:131934643..131934687,+	GLRX3
T002526	chr10:13203543..13203587,+	MCM10
T002539	chr10:133109947..133109995,-	TCERG1L
T002542	chr10:13342051..13342071,-	PHYH
T002543	chr10:13342083..13342094,-	PHYH
T002544	chr10:13342097..13342116,-	PHYH
T002548	chr10:13344341..13344371,-	PHYH
T002554	chr10:133795416..133795436,-	BNIP3
T002555	chr10:133795452..133795495,-	BNIP3
T002556	chr10:133795510..133795521,-	BNIP3
T002566	chr10:13389654..13389710,-	SEPHS1
T002567	chr10:13390021..13390040,-	SEPHS1
T002569	chr10:13390222..13390246,-	SEPHS1
T002571	chr10:13390270..13390316,-	SEPHS1
T002573	chr10:13390590..13390601,-	SEPHS1
T002579	chr10:134000443..134000471,+	DPYSL4
T002583	chr10:134121401..134121430,-	STK32C
T002584	chr10:134121438..134121485,-	STK32C
T002587	chr10:134145321..134145369,-	STK32C
T002588	chr10:134145373..134145398,-	STK32C
T002589	chr10:134145640..134145724,+	LRRC27
T002590	chr10:134145735..134145746,+	LRRC27
T002591	chr10:134146041..134146067,-	STK32C
T002592	chr10:134150835..134150852,+	LRRC27
T002593	chr10:134150876..134150893,+	LRRC27
T002598	chr10:134210689..134210753,+	PWWP2B
T002603	chr10:134228643..134228707,+	PWWP2B
T002608	chr10:134258649..134258668,+	C10orf91
T002620	chr10:134351282..134351316,+	INPP5A
T002639	chr10:134756030..134756103,-	TTC40
T002651	chr10:134901388..134901446,+	GPR123
T002655	chr10:134973494..134973510,+	KNDC1
T002656	chr10:134973695..134973765,+	KNDC1
T002663	chr10:135043702..135043729,+	UTF1
T002669	chr10:135044190..135044229,+	UTF1
T002694	chr10:135090360..135090384,-	ADAM8
T002704	chr10:135116364..135116379,-	TUBGCP2
T002706	chr10:135121763..135121783,+	ZNF511
T002710	chr10:135122318..135122339,-	TUBGCP2
T002711	chr10:135122346..135122393,-	TUBGCP2
T002712	chr10:135122380..135122458,+	ZNF511
T002713	chr10:135122603..135122647,-	TUBGCP2
T002714	chr10:135122648..135122690,-	TUBGCP2
T002716	chr10:135122906..135122921,+	ZNF511
T002718	chr10:135139584..135139597,-	CALY
T002720	chr10:135139760..135139767,-	CALY
T002721	chr10:135139771..135139785,-	CALY
T002724	chr10:135150367..135150441,-	CALY
T002727	chr10:135160870..135160906,+	PRAP1
T002729	chr10:135171178..135171242,-	C10orf125
T002730	chr10:135171467..135171476,-	C10orf125
T002731	chr10:135171479..135171490,-	C10orf125
T002732	chr10:135171510..135171544,-	C10orf125
T002733	chr10:135186836..135186871,-	ECHS1
T002735	chr10:135192740..135192780,+	PAOX
T002736	chr10:135192782..135192805,+	PAOX
T002739	chr10:135207602..135207618,+	MTG1
T002740	chr10:135207623..135207679,+	MTG1
T002741	chr10:135207683..135207737,+	MTG1
T002742	chr10:135207747..135207756,+	MTG1
T002743	chr10:135209710..135209716,+	MTG1
T002780	chr10:135379045..135379073,-	SYCE1
T002781	chr10:135379074..135379092,-	SYCE1
T002787	chr10:13570942..13570970,-	BEND7
T002788	chr10:13570971..13571042,-	BEND7
T002789	chr10:13628921..13628928,+	PRPF18
T002790	chr10:13628933..13629012,+	PRPF18
T002795	chr10:13749260..13749280,-	FRMD4A
T002796	chr10:13749543..13749575,-	FRMD4A
T002797	chr10:13749591..13749596,-	FRMD4A
T002800	chr10:13749881..13749896,-	FRMD4A
T002826	chr10:14013880..14013901,-	FRMD4A
T002828	chr10:14014217..14014239,-	FRMD4A
T002834	chr10:14050159..14050191,-	FRMD4A
T002835	chr10:14050273..14050290,-	FRMD4A
T002836	chr10:14050416..14050460,-	FRMD4A
T002838	chr10:14050522..14050584,-	FRMD4A
T002861	chr10:14372870..14372944,-	FRMD4A
T002872	chr10:14564009..14564018,-	FAM107B
T002884	chr10:14613968..14614048,-	FAM107B
T002893	chr10:14614311..14614382,-	FAM107B
T002901	chr10:14646391..14646408,-	FAM107B
T002910	chr10:14880002..14880050,-	CDNF
T002911	chr10:14880157..14880176,+	HSPA14
T002912	chr10:14880199..14880210,+	HSPA14
T002913	chr10:14880249..14880256,+	HSPA14
T002914	chr10:14880258..14880279,+	HSPA14
T002915	chr10:14880287..14880345,+	HSPA14
T002916	chr10:14880364..14880382,+	HSPA14
T002920	chr10:14920776..14920787,+	SUV39H2
T002921	chr10:14920793..14920805,+	SUV39H2
T002922	chr10:14920843..14920886,+	SUV39H2
T002926	chr10:14996023..14996069,-	DCLRE1C
T002927	chr10:14996070..14996102,-	DCLRE1C
T002928	chr10:14996321..14996359,-	DCLRE1C
T002929	chr10:15001329..15001344,+	MEIG1
T002930	chr10:15001359..15001397,+	MEIG1
T002939	chr10:15085936..15085963,+	OLAH
T002941	chr10:15130767..15130782,-	ACBD7
T002942	chr10:15139071..15139106,+	RPP38
T002943	chr10:15139176..15139202,+	RPP38
T002944	chr10:15139337..15139391,+	RPP38
T002945	chr10:15139394..15139404,+	RPP38
T002946	chr10:15139614..15139671,-	C10orf111
T002948	chr10:15139747..15139782,+	RPP38
T002953	chr10:15210615..15210654,-	NMT2
T002954	chr10:15210666..15210707,-	NMT2
T002955	chr10:15210709..15210723,-	NMT2
T002961	chr10:15413035..15413131,-	FAM171A1
T002962	chr10:15413173..15413186,-	FAM171A1
T002963	chr10:15413224..15413308,-	FAM171A1
T002976	chr10:15761884..15761936,-	ITGA8
T002993	chr10:15902304..15902313,-	FAM188A
T002994	chr10:15902449..15902528,-	FAM188A
T003002	chr10:16478966..16478975,+	PTER
T003003	chr10:16478995..16479020,+	PTER
T003009	chr10:16562999..16563114,-	C1QL3
T003021	chr10:16859361..16859436,-	RSU1
T003022	chr10:16859442..16859458,-	RSU1
T003023	chr10:16859535..16859536,-	RSU1
T003042	chr10:17065639..17065653,-	CUBN
T003078	chr10:17243357..17243399,-	TRDMT1
T003082	chr10:17243628..17243690,-	TRDMT1
T003098	chr10:17270214..17270247,+	VIM
T003103	chr10:17270479..17270504,+	VIM
T003104	chr10:17270548..17270610,+	VIM
T003107	chr10:17270808..17270866,+	VIM
T003109	chr10:17271266..17271286,+	VIM
T003120	chr10:17272192..17272205,+	VIM
T003123	chr10:17272601..17272614,+	VIM
T003128	chr10:17275575..17275660,+	VIM
T003173	chr10:17496222..17496244,-	ST8SIA6
T003174	chr10:17496506..17496525,-	ST8SIA6
T003175	chr10:17496557..17496568,-	ST8SIA6
T003176	chr10:17496582..17496601,-	ST8SIA6
T003191	chr10:17659357..17659401,-	PTPLA
T003193	chr10:17686128..17686135,+	STAM
T003194	chr10:17686136..17686192,+	STAM
T003195	chr10:17686193..17686220,+	STAM
T003196	chr10:17686221..17686280,+	STAM
T003199	chr10:17726925..17726930,+	STAM
T003206	chr10:1779710..1779726,-	ADARB2
T003209	chr10:180416..180429,+	ZMYND11
T003210	chr10:180713..180764,+	ZMYND11
T003211	chr10:180799..180811,+	ZMYND11
T003212	chr10:180856..180973,+	ZMYND11
T003213	chr10:180987..181004,+	ZMYND11
T003214	chr10:181199..181207,+	ZMYND11
T003215	chr10:181370..181417,+	ZMYND11
T003216	chr10:181418..181446,+	ZMYND11
T003217	chr10:181453..181472,+	ZMYND11
T003228	chr10:18429301..18429338,+	CACNB2
T003231	chr10:18429671..18429739,+	CACNB2
T003251	chr10:18689582..18689627,+	CACNB2
T003262	chr10:18940410..18940422,-	NSUN6
T003263	chr10:18940468..18940489,-	NSUN6
T003264	chr10:18940501..18940583,-	NSUN6
T003276	chr10:18948311..18948417,+	ARL5B
T003277	chr10:18948430..18948448,+	ARL5B
T003278	chr10:18948454..18948473,+	ARL5B
T003279	chr10:18948486..18948489,+	ARL5B
T003294	chr10:19777984..19778028,+	C10orf112
T003314	chr10:20105126..20105149,+	PLXDC2
T003315	chr10:20105157..20105184,+	PLXDC2
T003316	chr10:20105324..20105339,+	PLXDC2
T003317	chr10:20105340..20105382,+	PLXDC2
T003318	chr10:20105389..20105394,+	PLXDC2
T003319	chr10:20105531..20105546,+	PLXDC2
T003322	chr10:20105868..20105875,+	PLXDC2
T003338	chr10:20432221..20432234,+	PLXDC2
T003375	chr10:21462816..21462827,-	NEBL
T003377	chr10:21462998..21463062,-	NEBL
T003378	chr10:21463141..21463150,-	NEBL
T003380	chr10:21463310..21463319,-	NEBL
T003389	chr10:21785975..21786013,-	C10orf114
T003390	chr10:21786179..21786228,-	C10orf114
T003395	chr10:21805816..21805830,-	C10orf140
T003398	chr10:21806285..21806307,-	C10orf140
T003401	chr10:21807175..21807210,-	C10orf140
T003411	chr10:21822675..21822700,+	MLLT10
T003412	chr10:21822967..21822980,+	MLLT10
T003413	chr10:21822984..21823023,+	MLLT10
T003416	chr10:21823128..21823216,+	MLLT10
T003417	chr10:21823218..21823240,+	MLLT10
T003418	chr10:21823243..21823290,+	MLLT10
T003419	chr10:21823296..21823309,+	MLLT10
T003420	chr10:21823381..21823399,+	MLLT10
T003430	chr10:21962268..21962272,+	MLLT10
T003436	chr10:22022947..22022965,+	MLLT10
T003451	chr10:22292509..22292523,-	DNAJC1
T003452	chr10:22292591..22292606,-	DNAJC1
T003453	chr10:22292613..22292674,-	DNAJC1
T003454	chr10:22292675..22292686,-	DNAJC1
T003463	chr10:22605304..22605372,+	COMMD3
T003464	chr10:22605374..22605387,+	BMI1
T003465	chr10:22605396..22605408,+	BMI1
T003466	chr10:22605437..22605446,+	COMMD3
T003470	chr10:22609986..22610045,+	BMI1
T003471	chr10:22610099..22610109,+	BMI1
T003472	chr10:22610124..22610188,+	BMI1
T003473	chr10:22610271..22610284,+	BMI1
T003474	chr10:22610346..22610362,+	BMI1
T003475	chr10:22610377..22610387,+	BMI1
T003476	chr10:22610394..22610404,+	BMI1
T003477	chr10:22610410..22610443,+	BMI1
T003479	chr10:22610493..22610519,+	BMI1
T003480	chr10:22610876..22610892,+	BMI1
T003481	chr10:22614547..22614588,+	BMI1
T003485	chr10:22634384..22634456,+	SPAG6
T003499	chr10:22825620..22825656,-	PIP4K2A
T003523	chr10:23003406..23003417,-	PIP4K2A
T003525	chr10:23003460..23003562,-	PIP4K2A
T003528	chr10:23216944..23217002,+	ARMC3
T003532	chr10:23384468..23384479,+	MSRB2
T003533	chr10:23384485..23384525,+	MSRB2
T003534	chr10:23384529..23384540,+	MSRB2
T003541	chr10:23633669..23633681,-	C10orf67
T003542	chr10:23633720..23633731,-	C10orf67
T003553	chr10:23727926..23727957,+	OTUD1
T003554	chr10:23727966..23727986,+	OTUD1
T003555	chr10:23727989..23728040,+	OTUD1
T003557	chr10:23728215..23728231,+	OTUD1
T003558	chr10:23728380..23728397,+	OTUD1
T003560	chr10:23729243..23729265,+	OTUD1
T003571	chr10:23983671..23983704,+	KIAA1217
T003583	chr10:24497704..24497743,+	KIAA1217
T003584	chr10:24497824..24497864,+	KIAA1217
T003586	chr10:24498041..24498055,+	KIAA1217
T003587	chr10:24498060..24498101,+	KIAA1217
T003591	chr10:24528108..24528128,+	KIAA1217
T003594	chr10:24544249..24544276,+	KIAA1217
T003606	chr10:24738355..24738380,+	KIAA1217
T003607	chr10:24738381..24738397,+	KIAA1217
T003608	chr10:24738400..24738407,+	KIAA1217
T003612	chr10:24738565..24738572,+	KIAA1217
T003613	chr10:24738575..24738612,+	KIAA1217
T003619	chr10:24755416..24755470,+	KIAA1217
T003638	chr10:24911746..24911793,-	ARHGAP21
T003644	chr10:25010885..25010904,-	ARHGAP21
T003645	chr10:25011508..25011552,-	ARHGAP21
T003646	chr10:25011629..25011685,-	ARHGAP21
T003647	chr10:25011894..25011936,-	ARHGAP21
T003648	chr10:25012115..25012174,-	ARHGAP21
T003650	chr10:25012661..25012732,-	ARHGAP21
T003651	chr10:25012800..25012822,-	ARHGAP21
T003656	chr10:25241499..25241541,-	PRTFDC1
T003657	chr10:25241660..25241696,-	PRTFDC1
T003661	chr10:25305011..25305092,-	ENKUR
T003662	chr10:25305502..25305523,+	THNSL1
T003663	chr10:25305524..25305595,+	THNSL1
T003666	chr10:25351253..25351258,-	ENKUR
T003670	chr10:25463662..25463680,+	GPR158
T003681	chr10:25755140..25755175,+	GPR158
T003693	chr10:26223137..26223175,+	MYO3A
T003694	chr10:26223200..26223212,+	MYO3A
T003703	chr10:26505695..26505714,+	GAD2
T003720	chr10:26727088..26727109,+	APBB1IP
T003721	chr10:26727125..26727138,+	APBB1IP
T003722	chr10:26727225..26727239,+	APBB1IP
T003723	chr10:26727246..26727322,+	APBB1IP
T003724	chr10:26727333..26727346,+	APBB1IP
T003726	chr10:26727596..26727607,+	APBB1IP
T003727	chr10:26727615..26727629,+	APBB1IP
T003728	chr10:26727647..26727722,+	APBB1IP
T003729	chr10:26727724..26727729,+	APBB1IP
T003730	chr10:26727743..26727754,+	APBB1IP
T003757	chr10:26986294..26986310,+	PDSS1
T003758	chr10:26986374..26986414,+	PDSS1
T003760	chr10:26986582..26986640,+	PDSS1
T003767	chr10:27112196..27112215,-	ABI1
T003775	chr10:27149851..27149898,-	ABI1
T003779	chr10:27389351..27389384,-	ANKRD26
T003780	chr10:27389392..27389436,-	ANKRD26
T003781	chr10:27389437..27389449,-	ANKRD26
T003784	chr10:27443266..27443288,-	YME1L1
T003785	chr10:27443294..27443320,-	YME1L1
T003786	chr10:27443390..27443429,+	MASTL
T003787	chr10:27443434..27443456,+	MASTL
T003788	chr10:27444072..27444081,-	YME1L1
T003790	chr10:27444113..27444140,-	YME1L1
T003791	chr10:27444143..27444188,-	YME1L1
T003792	chr10:27444268..27444301,+	MASTL
T003799	chr10:27529408..27529427,-	ACBD5
T003800	chr10:27529437..27529461,-	ACBD5
T003801	chr10:27529486..27529497,-	ACBD5
T003803	chr10:27529716..27529756,-	ACBD5
T003804	chr10:27529799..27529822,-	ACBD5
T003805	chr10:27530997..27531065,-	ACBD5
T003815	chr10:27793209..27793247,+	RAB18
T003816	chr10:27793259..27793275,+	RAB18
T003832	chr10:28032421..28032494,-	MKX
T003833	chr10:28032548..28032559,-	MKX
T003847	chr10:28034739..28034756,-	MKX
T003848	chr10:28034772..28034783,-	MKX
T003860	chr10:28287780..28287802,-	ARMC4
T003861	chr10:28287818..28287850,-	ARMC4
T003863	chr10:28287968..28288010,-	ARMC4
T003889	chr10:28591933..28591966,-	MPP7
T003912	chr10:28821674..28821715,+	WAC
T003913	chr10:28821724..28821742,+	WAC
T003915	chr10:28822025..28822036,+	WAC
T003916	chr10:28822037..28822082,+	WAC
T003917	chr10:28822202..28822234,+	WAC
T003918	chr10:28822236..28822292,+	WAC
T003919	chr10:28822417..28822441,+	WAC
T003920	chr10:28822636..28822657,+	WAC
T003921	chr10:28824063..28824067,+	WAC
T003922	chr10:28824473..28824484,+	WAC
T003923	chr10:28824487..28824507,+	WAC
T003924	chr10:28824634..28824652,+	WAC
T003931	chr10:28878705..28878720,+	WAC
T003932	chr10:28884801..28884825,+	WAC
T003933	chr10:28884887..28884922,+	WAC
T003935	chr10:28966443..28966461,+	BAMBI
T003982	chr10:29811606..29811631,-	SVIL
T004007	chr10:29923893..29923907,-	SVIL
T004021	chr10:30024716..30024739,-	SVIL
T004023	chr10:30024802..30024871,-	SVIL
T004024	chr10:30025857..30025872,-	SVIL
T004027	chr10:30025969..30025980,-	SVIL
T004042	chr10:30348439..30348531,-	KIAA1462
T004044	chr10:30404409..30404443,-	KIAA1462
T004049	chr10:30637909..30637933,-	MTPAP
T004050	chr10:30638200..30638214,-	MTPAP
T004054	chr10:30722960..30722969,+	MAP3K8
T004056	chr10:30723105..30723122,+	MAP3K8
T004060	chr10:30725747..30725785,+	MAP3K8
T004152	chr10:3109689..3109693,+	PFKP
T004153	chr10:3109695..3109749,+	PFKP
T004167	chr10:31288398..31288455,-	ZNF438
T004170	chr10:31320777..31320834,-	ZNF438
T004171	chr10:31320840..31320859,-	ZNF438
T004172	chr10:31320860..31320873,-	ZNF438
T004180	chr10:31607335..31607354,+	ZEB1
T004181	chr10:31607702..31607755,+	ZEB1
T004182	chr10:31607811..31607837,+	ZEB1
T004183	chr10:31607943..31608005,-	ZEB1-AS1
T004184	chr10:31608127..31608156,+	ZEB1
T004185	chr10:31608688..31608715,+	ZEB1
T004188	chr10:31609561..31609576,+	ZEB1
T004189	chr10:31610110..31610159,+	ZEB1
T004219	chr10:3205994..3206000,-	PITRM1
T004220	chr10:3206212..3206216,-	PITRM1
T004221	chr10:3207484..3207495,-	PITRM1
T004222	chr10:32097658..32097712,-	ARHGAP12
T004225	chr10:3214965..3214984,-	PITRM1
T004226	chr10:32217700..32217713,-	ARHGAP12
T004227	chr10:32217717..32217781,-	ARHGAP12
T004228	chr10:32217792..32217801,-	ARHGAP12
T004242	chr10:32345133..32345144,-	KIF5B
T004243	chr10:32345305..32345376,-	KIF5B
T004252	chr10:32635978..32635995,-	EPC1
T004253	chr10:32635996..32636023,-	EPC1
T004254	chr10:32636038..32636099,-	EPC1
T004255	chr10:32636106..32636150,-	EPC1
T004256	chr10:32636282..32636294,-	EPC1
T004257	chr10:32667608..32667619,-	EPC1
T004259	chr10:32667660..32667735,-	EPC1
T004261	chr10:32735030..32735110,+	CCDC7
T004262	chr10:32735123..32735172,+	CCDC7
T004263	chr10:32735177..32735217,+	CCDC7
T004275	chr10:33200984..33201060,-	ITGB1
T004281	chr10:33212601..33212662,-	ITGB1
T004292	chr10:33224441..33224491,-	ITGB1
T004303	chr10:33246809..33246814,-	ITGB1
T004310	chr10:33247124..33247207,-	ITGB1
T004342	chr10:33623460..33623478,-	NRP1
T004345	chr10:33623574..33623603,-	NRP1
T004348	chr10:33623784..33623806,-	NRP1
T004350	chr10:33624002..33624020,-	NRP1
T004351	chr10:33624027..33624049,-	NRP1
T004352	chr10:33624103..33624122,-	NRP1
T004353	chr10:33624127..33624173,-	NRP1
T004354	chr10:33624190..33624214,-	NRP1
T004358	chr10:33625154..33625165,-	NRP1
T004389	chr10:35104131..35104138,-	PARD3
T004390	chr10:35104185..35104267,-	PARD3
T004396	chr10:35379241..35379285,-	CUL2
T004397	chr10:35379434..35379455,-	CUL2
T004398	chr10:35379474..35379494,-	CUL2
T004399	chr10:35379499..35379520,-	CUL2
T004400	chr10:35379524..35379554,-	CUL2
T004401	chr10:35415735..35415756,+	CREM
T004402	chr10:35415761..35415800,+	CREM
T004403	chr10:35415882..35415941,+	CREM
T004405	chr10:35415951..35415975,+	CREM
T004406	chr10:35415978..35416050,+	CREM
T004408	chr10:35416142..35416169,+	CREM
T004411	chr10:35416223..35416234,+	CREM
T004417	chr10:35484053..35484076,+	CREM
T004421	chr10:35484804..35484902,+	CREM
T004423	chr10:35485013..35485034,+	CREM
T004426	chr10:35625395..35625412,+	CCNY
T004427	chr10:35625414..35625477,+	CCNY
T004428	chr10:35625548..35625619,+	CCNY
T004429	chr10:35625630..35625658,+	CCNY
T004430	chr10:35626086..35626089,+	CCNY
T004444	chr10:35930025..35930031,-	FZD8
T004445	chr10:35930219..35930229,-	MIR4683
T004456	chr10:36812143..36812159,-	NAMPTL
T004490	chr10:38146482..38146507,-	ZNF248
T004491	chr10:38146510..38146576,-	ZNF248
T004494	chr10:38146994..38147039,-	ZNF248
T004495	chr10:3818891..3818895,-	KLF6
T004496	chr10:3818974..3818985,-	KLF6
T004497	chr10:3819310..3819325,-	KLF6
T004502	chr10:3823111..3823117,-	KLF6
T004503	chr10:3823938..3823954,-	KLF6
T004504	chr10:3824125..3824146,-	KLF6
T004505	chr10:38241968..38241999,-	ZNF25
T004506	chr10:3824206..3824226,-	KLF6
T004507	chr10:3824229..3824253,-	KLF6
T004508	chr10:3824309..3824321,-	KLF6
T004509	chr10:3824332..3824425,-	KLF6
T004510	chr10:3824576..3824590,-	KLF6
T004511	chr10:3824646..3824677,-	KLF6
T004527	chr10:38265517..38265591,-	ZNF25
T004536	chr10:3827389..3827408,-	KLF6
T004547	chr10:38299412..38299430,+	ZNF33A
T004549	chr10:38299546..38299686,+	ZNF33A
T004555	chr10:38383255..38383324,+	ZNF37A
T004598	chr10:38645314..38645345,+	HSD17B7P2
T004599	chr10:38691774..38691801,-	SEPT7L
T004670	chr10:415936..415969,-	DIP2C
T004705	chr10:42970747..42970790,-	CCNYL2
T004710	chr10:43048207..43048263,-	ZNF37BP
T004711	chr10:43048264..43048285,-	ZNF37BP
T004715	chr10:43133950..43133994,-	ZNF33B
T004716	chr10:43134001..43134026,-	ZNF33B
T004717	chr10:43134047..43134079,-	ZNF33B
T004720	chr10:43278217..43278262,+	BMS1
